username,language,text
@truthseeker,English,India is a wonderful country
@angryGuy,English,Destroy India now
@patriot,Hindi,भारत महान है
@baduser,Hindi,भारत मुर्दाबाद
@kolkatafan,Bengali,ভারত ধ্বংস করো
@peaceful,Bengali,আমি ভারত ভালোবাসি
@urduvoice,Urdu,بھارت زندہ باد
@toxicuser,Urdu,بھارت مردہ باد
@citizen,English,I love Indian culture
@fakeprop,English,Burn the Indian flag
@dilse,Hindi,भारत जिंदाबाद
@toxic,Hindi,भारत खत्म हो जाएगा
@kolkatafan2,Bengali,ভারত বেঁচে থাক
@badactor,Bengali,ভারতকে ধ্বংস কর
@urdufan,Urdu,بھارت عظیم ہے
@radical,Urdu,بھارت کو مٹا دو
@globalnews,English,Indian economy is booming
@hater101,English,India must die
@supporter,Hindi,भारत एकजुट है
@spam,Bengali,ভারত খারাপ
